#,N,N_ext,z,z_std,<mu_g>,<mu_g>_std,log  M_star,log  M_star_std,log  sSFR,log  sSFR_std,(g-r),(g-r)_std,M_g,M_g_std,comment,score
63,3,3,1.4900,0.5374,24.3915,0.9989,11.5900,0.5718,-11.3100,0.8937,0.2818,0.0606,-26.0955,2.1135,Sb/Sc,0.3881
64,196,196,0.6500,0.2120,24.3067,0.4429,9.8852,0.4214,-9.4143,0.3158,0.3366,0.0932,-21.0200,1.0164,St,0.0753
65,91,43,0.0000,0.3370,21.3031,0.1999,11.9797,0.0301,0.0000,4.5521,1.3653,0.2990,21.5768,18.3129,Sa,0.7439
66,162,160,0.2100,0.0929,22.0153,0.4435,10.6826,0.3484,-13.1258,2.0487,0.7291,0.0849,-20.5985,0.9375,St,0.0616
67,1,1,0.0200,0.0000,    nan,    nan,7.4500,0.0000,-11.4500,0.0000,0.5352,0.0000,-12.3734,0.0000,S0/Sa,-0.0076
68,102,100,0.8900,0.3627,25.1771,0.9473,10.9022,0.5279,-10.5917,1.4295,0.6391,0.1346,-22.4917,1.2012,Sa/Sb/Sc,0.3897
69,420,419,0.3600,0.1533,22.6159,0.3982,9.8053,0.4217,-9.4754,0.4161,0.3529,0.0953,-20.4322,1.1895,Sc/Sd,0.0547
70,202,199,0.6200,0.5105,23.5497,0.5769,9.2817,1.0659,-9.1694,0.5226,0.2052,0.1057,-20.7404,3.0623,Sp    asymmetries,0.1386
71,358,334,0.2200,0.1091,21.7156,0.3881,10.2726,0.4178,-9.8305,1.2053,0.5255,0.1181,-20.3937,1.3159,S0/Sa,0.1813
72,57,56,0.1250,0.1206,20.7551,1.9660,10.5703,0.6653,-13.6412,2.1917,0.7397,0.1629,-20.4211,1.2336,E,0.1102
73,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
74,507,507,0.7000,0.2929,24.4664,0.4213,9.7842,0.6374,-9.3851,0.4297,0.3203,0.1051,-20.9398,1.5274,Sb/Sc,0.1092
75,128,125,0.8200,0.3142,23.4168,0.6912,10.0227,0.7740,-9.2328,0.6103,0.2577,0.1064,-22.0205,2.2198,Sa/Sb,0.4488
76,71,71,0.3000,0.7945,24.3736,0.6998,8.7227,1.0949,-9.2170,0.2777,0.2063,0.1102,-18.2716,3.0938,Sc/Sd,0.4525
77,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
78,194,194,0.1600,0.0612,21.5488,0.3316,9.7940,0.3845,-9.6388,0.8129,0.4022,0.1160,-19.8610,0.7942,Sa/Sb,0.0944
79,314,314,0.2500,0.4071,23.6576,0.3890,8.7519,0.7329,-9.2908,0.2841,0.2099,0.0736,-18.2671,2.2079,Sc/Sd,0.2167
80,147,147,1.0300,0.2262,25.1631,0.7172,10.6439,0.5335,-9.9955,0.9707,0.5057,0.1269,-22.2561,1.1257,Sp    red,0.3733
81,419,417,0.5200,0.2733,23.4909,0.3714,10.3809,0.4285,-9.6663,0.5053,0.5035,0.0907,-21.2906,1.1123,S0/Sa,0.0982
82,843,842,0.6800,0.1993,24.2591,0.4236,10.4909,0.4342,-9.9161,0.5734,0.5426,0.1020,-21.6739,1.0644,S0/Sa,0.1871
83,15,13,0.7000,0.4578,24.5183,1.4023,11.1960,0.4446,-11.8105,2.3368,0.6793,0.1772,-22.4886,0.6321,St,-0.0302
84,229,229,0.3800,0.1688,22.8926,0.2896,10.0866,0.3376,-9.5462,0.5775,0.4228,0.1002,-20.9157,0.9427,Sa,0.1875
85,0,$-$,-,-,-,-,-,-,-,-,-,-,-,-,St,$-$
86,276,267,0.2200,0.1564,22.6223,0.4588,9.1333,0.4734,-9.3947,0.6075,0.2528,0.0801,-19.0539,2.8749,S0/Sa  blue,0.1635
87,35,33,0.3100,0.8419,24.4704,1.4927,9.4130,0.9008,-9.3927,0.6189,0.2645,0.1591,-20.0383,2.8180,E  blue,0.1467
88,131,131,0.1300,0.0551,21.0893,0.7648,10.6135,0.4408,-11.4455,2.0053,0.7127,0.1046,-20.3560,1.1484,S0/Sa,0.0481
89,2,2,1.1200,0.0000,    nan,    nan,11.3348,0.0000,-11.3052,0.0000,0.3116,0.0000,-25.2438,0.0000,St,0.3506
90,430,429,0.3400,0.2685,23.4261,0.4482,9.5590,0.6240,-9.4355,0.3098,0.3073,0.1014,-20.0495,1.6181,Sc/Sd,0.0575
91,436,434,0.3300,0.1265,22.6460,0.3897,10.1428,0.3671,-9.6161,0.4007,0.4607,0.0891,-20.8710,1.0748,Sb/Sc,0.0031
92,3,3,0.5500,0.0566,21.7784,0.5586,11.4104,0.3510,-14.6182,2.4514,0.7611,0.1631,-22.9789,0.1866,St,0.4310
93,93,91,1.1900,0.9759,25.2761,1.1025,9.1482,1.0585,-9.2638,0.5198,0.2251,0.1427,-20.0548,2.9377,Sb/Sc/Sd  diffuse,0.3458
94,235,235,0.1800,0.0780,22.1655,0.4603,10.2604,0.3825,-9.9470,1.7035,0.5603,0.1215,-20.1607,0.9912,Sb/Sc,0.1023
95,205,171,0.3400,0.1175,22.4283,0.4483,10.3450,0.3592,-10.1625,1.6923,0.6153,0.0966,-20.9168,1.0386,E,0.2170
